,First,,,,,,,,Second,,,,,,,,Third,,,,,,,,Fourth,,,,,,,,Fifth,,,,,,,
Chest,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Percentage Change,0%,8%,-11%,8%,-17%,,,,,,42%,-6%,1%,4%,,-9%,14%,-73%,21%,-10%,,,,,9%,,-14%,4%,,-2%,11%,-30%,30%,,-17%,,-11%,10%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traps,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,"2,350","2,500","4,050",0,,,,0,0,"2,700",0,0,"4,550","6,930","9,645","10,630",0,"10,630",0,"10,530","8,100",,
Total Sets,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,3,3,3,0,,,,0,0,3,0,0,6,7,7,8,0,8,0,8,4,,
Total Reps,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,47,50,45,0,,,,0,0,30,0,0,82,97,88,95,0,95,0,94,60,,
Weights Per Rep,,,,,,,,,,,,,,,,,,50,50,90,,,,,,,90,,,55,71,110,112,,112,,112,135,,
Percentage Change,,,,,,,,,,,,,,,,,,0%,0%,44%,,,,,,,0%,,,-64%,23%,35%,2%,,0%,,0%,17%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biceps,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
